                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.0546,                0.57263,                0.84849,                0.94171,                0.87556,                0.93235,                0.73877,                0.97944,                0.53964,                0.82427,              7.105e-05,              7.105e-05,              7.105e-05
                     63,                 1.0488,                0.57236,                0.84724,                0.93914,                0.87999,                0.93471,                0.73927,                0.97649,                0.52909,                0.82375,             6.9317e-05,             6.9317e-05,             6.9317e-05
                     64,                 1.0496,                0.56991,                0.84761,                0.94945,                0.86964,                0.93304,                 0.7366,                 0.9912,                0.58147,                0.82523,             6.7585e-05,             6.7585e-05,             6.7585e-05
                     65,                 1.0544,                0.56822,                0.84916,                0.95407,                0.87647,                0.93714,                0.74232,                0.97734,                0.52767,                0.82398,             6.5853e-05,             6.5853e-05,             6.5853e-05
                     66,                 1.0495,                  0.567,                0.84765,                0.93323,                0.88518,                0.93536,                0.74499,                 0.9702,                 0.5305,                0.82312,              6.412e-05,              6.412e-05,              6.412e-05
                     67,                 1.0435,                0.56701,                0.84709,                0.93739,                0.88971,                0.93747,                0.74645,                0.96523,                0.52606,                0.82271,             6.2387e-05,             6.2387e-05,             6.2387e-05
                     68,                 1.0402,                0.56463,                 0.8469,                0.93862,                0.89014,                0.93801,                0.74293,                 0.9668,                0.51982,                0.82268,             6.0655e-05,             6.0655e-05,             6.0655e-05
                     69,                 1.0448,                0.56477,                0.84831,                0.93787,                0.88268,                0.93662,                0.74229,                0.97442,                0.52554,                0.82333,             5.8922e-05,             5.8922e-05,             5.8922e-05
                     70,                 1.0433,                0.56525,                0.84806,                 0.9437,                 0.8835,                0.93722,                0.74319,                0.96673,                0.52697,                0.82227,              5.719e-05,              5.719e-05,              5.719e-05
                     71,                 1.0432,                0.56523,                0.84718,                 0.9443,                0.88283,                0.93851,                0.74499,                0.97365,                0.52243,                0.82286,             5.5458e-05,             5.5458e-05,             5.5458e-05
                     72,                 1.0396,                 0.5592,                 0.8452,                0.93782,                0.89164,                0.93793,                0.74535,                0.96645,                0.52073,                0.82223,             5.3725e-05,             5.3725e-05,             5.3725e-05
                     73,                 1.0352,                 0.5557,                0.84577,                0.94262,                 0.8914,                0.94068,                0.75006,                0.96496,                0.53618,                0.82185,             5.1993e-05,             5.1993e-05,             5.1993e-05
                     74,                 1.0393,                0.56125,                0.84538,                0.94928,                0.88369,                0.93682,                0.74395,                0.97508,                0.52007,                0.82234,              5.026e-05,              5.026e-05,              5.026e-05
                     75,                  1.035,                0.55651,                0.84477,                0.94041,                0.89312,                0.94045,                0.74818,                0.96551,                 0.5199,                0.82214,             4.8528e-05,             4.8528e-05,             4.8528e-05
                     76,                 1.0315,                0.55712,                0.84522,                 0.9471,                0.88836,                0.93998,                0.74878,                0.96326,                0.51851,                0.82175,             4.6795e-05,             4.6795e-05,             4.6795e-05
                     77,                 1.0337,                0.55687,                0.84539,                0.94194,                0.89363,                0.93905,                0.74784,                0.96407,                 0.5177,                0.82157,             4.5062e-05,             4.5062e-05,             4.5062e-05
                     78,                 1.0301,                0.56024,                0.84513,                0.95277,                0.88827,                0.94056,                0.75066,                 0.9599,                0.53728,                 0.8214,              4.333e-05,              4.333e-05,              4.333e-05
                     79,                 1.0318,                0.55266,                0.84339,                0.94836,                0.88674,                0.93938,                0.74751,                0.97125,                0.52998,                0.82235,             4.1597e-05,             4.1597e-05,             4.1597e-05
                     80,                 1.0286,                 0.5536,                0.84444,                0.94747,                0.89159,                0.94243,                0.75261,                0.95739,                0.51375,                0.82104,             3.9865e-05,             3.9865e-05,             3.9865e-05
                     81,                 1.0265,                0.54876,                0.84638,                0.93981,                0.89434,                 0.9429,                0.75191,                0.96157,                0.51317,                 0.8214,             3.8132e-05,             3.8132e-05,             3.8132e-05
                     82,                 1.0231,                0.54873,                 0.8438,                0.95055,                0.89029,                0.94315,                0.75116,                0.95799,                0.52061,                0.82086,               3.64e-05,               3.64e-05,               3.64e-05
                     83,                 1.0238,                0.54737,                0.84579,                0.92985,                0.90019,                0.94284,                0.74944,                0.96292,                0.52035,                0.82136,             3.4667e-05,             3.4667e-05,             3.4667e-05
                     84,                 1.0282,                 0.5553,                0.84378,                0.94781,                0.89446,                0.94426,                0.75216,                0.95726,                0.52506,                0.82093,             3.2935e-05,             3.2935e-05,             3.2935e-05
                     85,                 1.0182,                0.54475,                 0.8447,                0.94011,                0.89929,                0.94402,                0.75409,                0.94996,                 0.5103,                0.82025,             3.1203e-05,             3.1203e-05,             3.1203e-05
                     86,                 1.0301,                0.54989,                0.84419,                0.94128,                 0.8962,                0.94279,                0.75322,                 0.9579,                0.51711,                0.82059,              2.947e-05,              2.947e-05,              2.947e-05
                     87,                 1.0151,                0.54541,                0.84375,                0.94782,                0.89682,                0.94376,                0.75542,                0.95441,                0.51424,                0.82031,             2.7738e-05,             2.7738e-05,             2.7738e-05
                     88,                 1.0176,                0.54441,                0.84169,                0.94846,                0.89966,                0.94497,                 0.7547,                0.95523,                0.51398,                0.82036,             2.6005e-05,             2.6005e-05,             2.6005e-05
                     89,                  1.028,                0.54993,                0.84429,                0.94705,                 0.8987,                0.94372,                0.75553,                0.95331,                0.51241,                0.82026,             2.4273e-05,             2.4273e-05,             2.4273e-05
                     90,                 1.0182,                0.54423,                0.84362,                0.94377,                0.90088,                0.94461,                0.75645,                0.95012,                0.51648,                0.81991,              2.254e-05,              2.254e-05,              2.254e-05
                     91,                 1.0195,                0.54421,                0.84185,                0.94673,                0.90052,                0.94525,                0.75611,                0.95517,                0.51226,                0.82025,             2.0807e-05,             2.0807e-05,             2.0807e-05
                     92,                 1.0171,                0.54439,                0.84154,                0.95024,                0.90216,                0.94431,                0.75487,                 0.9536,                0.50902,                   0.82,             1.9075e-05,             1.9075e-05,             1.9075e-05
                     93,                 1.0136,                0.53916,                0.84296,                 0.9474,                  0.902,                0.94538,                0.75563,                0.95344,                 0.5078,                0.81992,             1.7342e-05,             1.7342e-05,             1.7342e-05
                     94,                 1.0137,                0.53896,                0.83964,                0.94872,                0.90198,                0.94616,                0.75642,                0.95143,                0.51419,                0.81992,              1.561e-05,              1.561e-05,              1.561e-05
                     95,                 1.0205,                0.54503,                0.84309,                0.94905,                0.90327,                0.94727,                 0.7577,                0.94767,                0.50955,                0.81948,             1.3877e-05,             1.3877e-05,             1.3877e-05
                     96,                 1.0232,                0.54589,                0.84435,                0.94911,                0.90268,                0.94598,                0.75654,                0.95484,                0.51281,                0.82006,             1.2145e-05,             1.2145e-05,             1.2145e-05
                     97,                 1.0119,                0.53848,                0.84206,                0.95041,                0.90405,                0.94776,                0.75957,                0.94759,                0.50841,                0.81943,             1.0413e-05,             1.0413e-05,             1.0413e-05
                     98,                 1.0131,                0.53914,                0.84143,                0.95142,                 0.9031,                0.94714,                0.75826,                0.94995,                0.50601,                0.81989,               8.68e-06,               8.68e-06,               8.68e-06
                     99,                 1.0096,                0.53699,                0.84348,                0.94914,                0.90445,                0.94769,                0.75977,                0.94358,                0.50228,                0.81907,             6.9475e-06,             6.9475e-06,             6.9475e-06
                    100,                 1.0124,                0.53966,                0.84131,                0.94941,                0.90323,                0.94725,                0.75848,                0.94655,                0.50277,                0.81921,              5.215e-06,              5.215e-06,              5.215e-06
